ID,이름(Name),URL,언어(Language),타입(Type)
"energy-storage","Energy Storage News","https://www.energy-storage.news","en","rss"
"canary-media","Canary Media","https://www.canarymedia.com","en","rss"
"pv-magazine","PV Magazine","https://www.pv-magazine.com","en","rss"
"cleantechnica","CleanTechnica","https://cleantechnica.com","en","rss"
"electrek","Electrek","https://electrek.co","en","rss"
"iea","IEA","https://www.iea.org","en","scrape"
"irena","IRENA","https://www.irena.org","en","pdf"
"bnef","BloombergNEF","https://about.bnef.com","en","rss"
"windpower-monthly","WindPower Monthly","https://www.windpowermonthly.com","en","rss"
"ekn","에너지경제신문","https://www.ekn.kr","ko","scrape"
"electimes","전기신문","https://www.electimes.com","ko","rss"
"etnews","전자신문 (Energy)","https://www.etnews.com","ko","rss"
"e2news","이투뉴스 (E2News)","https://www.e2news.com","ko","rss"
"energydaily","에너지데일리","https://www.energydaily.co.kr","ko","rss"
"todayenergy","투데이에너지","https://www.todayenergy.kr","ko","rss"
"energytimes","에너지타임즈","https://www.energytimes.kr","ko","rss"
"greenpost","그린포스트코리아","https://www.greenpostkorea.co.kr","ko","rss"
"kea","한국에너지공단 (KEA)","https://www.energy.or.kr","ko","scrape"
"igt","녹색에너지연구원 (IGT)","https://igt.or.kr","ko","scrape"
